,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
0,34,Attingal(19),ADV ADOOR PRAKASH,297213,75,Indian National Congress
1,2,Muzaffarnagar(3),HARENDRA SINGH MALIK,376287,633,Samajwadi Party
2,177,Salempur(71),RAVINDAR KUSHAWAHA,244971,852,Bharatiya Janata Party
3,5,Mumbai North West(27),AMOL GAJANAN KIRTIKAR,389808,1785,Shiv Sena
4,93,Chandigarh(1),MANISH TEWARI,216657,2504,Indian National Congress
5,94,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647,Indian National Congress
6,75,Amroha(9),KUNWAR DANISH ALI,314211,2863,Indian National Congress
7,1,DHARMAPURI(10),SOWMIYA ANBUMANI,328892,3059,Pattali Makkal Katchi
8,44,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,406036,3121,Indian National Congress
9,154,Badaun(23),DURVIJAY SINGH SHAKYA,277595,3774,Bharatiya Janata Party
10,2,Karimganj(7),HAFIZ RASHID AHMED CHOUDHURY,255452,4035,Indian National Congress
11,55,Firozpur(10),SHER SINGH GHUBAYA,262451,4137,Indian National Congress
12,201,KANKER(11),BHOJRAJ NAG,556446,4255,Bharatiya Janata Party
13,7,Purnia(12),SANTOSH KUMAR,247918,4876,Janata Dal
14,71,VIRUDHUNAGAR(34),MANICKAM TAGORE B,272227,4881,Indian National Congress
15,9,Aonla(24),NEERAJ MAURYA,445882,5010,Samajwadi Party
16,191,Bishnupur(37),KHAN SAUMITRA,608949,5115,Bharatiya Janata Party
17,144,Amroha(9),KANWAR SINGH TANWAR,321522,5223,Bharatiya Janata Party
18,166,Hamirpur(47),KUNWAR PUSHPENDRA SINGH CHANDEL,381533,5823,Bharatiya Janata Party
19,131,JAIPUR RURAL(6),RAO RAJENDRA SINGH,608189,5896,Bharatiya Janata Party
20,1,Jajpur(8),SARMISTHA SETHI,302293,6111,Biju Janata Dal
21,4,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225,Independent
22,176,Bansgaon(67),KAMLESH PASWAN,361396,6756,Bharatiya Janata Party
23,42,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,303364,7008,Indian National Congress
24,145,Meerut(10),ARUN GOVIL,529804,7105,Bharatiya Janata Party
25,6,Ahmednagar(37),NILESH DNYANDEV LANKE,271984,7135,Nationalist Congress Party – Sharadchandra Pawar
26,11,Dhaurahra(29),ANAND BHADAURIYA,426760,7192,Samajwadi Party
27,6,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,400349,7200,Shiv Sena
28,162,Farrukhabad(40),MUKESH RAJPUT,402509,7285,Bharatiya Janata Party
29,108,Beed(39),PANKAJA GOPINATHRAO MUNDE,257148,7501,Bharatiya Janata Party
30,222,Mahbubnagar(11),ARUNA. D. K,494283,8398,Bharatiya Janata Party
31,6,Katihar(11),DULAL CHANDRA GOSWAMI,398299,8761,Janata Dal
32,39,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,323580,9103,Indian National Congress
33,189,Kanthi(31),ADHIKARI SOUMENDU,289327,9715,Bharatiya Janata Party
34,32,Mavelikkara (16),KODIKUNNIL SURESH,357841,9953,Indian National Congress
35,122,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,355457,9963,Bharatiya Janata Party
